"review_type","canonical_entity_id","canonical_name","alias_entity_id","alias_name","merge_confidence","notes"
"merge_candidate_below_threshold","Nano Jump Bio","Nano Jump Bio","nanojump_bio","NanoJump Bio","0.96","Same normalized name with spacing variation"
"merge_candidate_below_threshold","0","Stämm","stamm","StÃ¤mm","0.95","Encoding issue and same normalized identity"
"merge_candidate_below_threshold","BreakPET","BreakPET","break_pet","Break Pet","0.95","Same normalized name with branding variation"
"merge_candidate_below_threshold","AlgaeBio+","AlgaeBio+","algaebio","algaebio+","0.96","Same normalized name with case variation"
"merge_candidate_below_threshold","DraperCygnus","DraperCygnus","draper_cygnus","Draper Cygnus","0.95","Same normalized name with spacing variation"
"merge_candidate_below_threshold","Kresko RNATech","Kresko RNATech","kresko_rnatech","Kresko RNAtech","0.94","Same normalized name with style variation"
"merge_candidate_below_threshold","Feed Vax","Feed Vax","Feedvax","Feedvax","0.93","Possible branding variation likely same startup"
"edge_excluded_manual_rule","duhau","aplife","e18","latam_coinvest_network_v3.graphml","0.9","Low-density graphml-only family annotation without public portfolio support"
"edge_excluded_manual_rule","sillicon_catalyst","aplife","e19","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","draper_university","argenTAG","e54","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","future_ventures","Beeflow","e14","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","jeff_wilke","Beeflow","e16","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investor note with no public portfolio backing"
"edge_excluded_manual_rule","ospraie","Beeflow","e12","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","sosv","Beeflow","e15","latam_coinvest_network_v3.graphml","0.9","Parent SOSV graphml edges are less precise than the IndieBio-specific entity for this thesis"
"edge_excluded_manual_rule","vectr","Beeflow","e13","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","DragonesVP","caspr","e25","latam_coinvest_network_v3.graphml","0.9","Low-density graphml-only annotation superseded by cleaner DragonesVP entity"
"edge_excluded_manual_rule","paul_mcewan","caspr","e22","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investor note with no public portfolio backing"
"edge_excluded_manual_rule","photon_fund","caspr","e23","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","sosv","caspr","e24","latam_coinvest_network_v3.graphml","0.9","Parent SOSV graphml edges are less precise than the IndieBio-specific entity for this thesis"
"edge_excluded_manual_rule","brinc","cell_farm","e34","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","lartirigoyen","elytron_biotech","e58","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","conservation_international","Feed Vax","e32","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
"edge_excluded_manual_rule","duhau","Feed Vax","e31","latam_coinvest_network_v3.graphml","0.9","Low-density graphml-only family annotation without public portfolio support"
"edge_excluded_manual_rule","hatch","Feed Vax","e30","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note until public portfolio is mapped"
"edge_excluded_manual_rule","kairetsu_angels","michroma","e41","latam_coinvest_network_v3.graphml","0.9","Singleton graphml-only investment note with no public portfolio backing"
