"source_id","target_id","relation_type","source_file","extraction_method","confidence","notes"
"AIR Capital","0","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Aplife Biotech","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Arcomedlab","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","ArgenTAG","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Ayuvant","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Blerify","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Branch Energy","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Cellva","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Done Properly","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Egg","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Epiliquid","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Ergo Foods","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Ethos","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Feed Vax","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Gigablue","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Inner Cosmos","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Laurus","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Lemon","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Menta Tickets","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Novo Space","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Onco Precision","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Oncoliq","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Open Water","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Outpost","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Puna Bio","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Satellites On Fire","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Skyloom","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Starlight Ventures","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Sylvarum","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"AIR Capital","Tissue Dynamics","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
"Antom","Agrojusto","investment","edgeseco.csv","csv_edge_table","high","direction_as_recorded_needs_canonical_mapping"
