"source_entity_id","target_entity_id","relation_type","source_kind","confidence","notes"
"indiebio","Beeflow","accelerated_at","ecosystem_seed","medium","rich_graph_signal|Accelerator/capital relation suggested by historical graph"
"indiebio","st-mm","accelerated_at","ecosystem_seed","medium","rich_graph_signal|Accelerator/capital relation suggested by historical graph"
"inta","puna-bio","collaborates_with","ecosystem_seed","low","rich_graph_signal|Institutional relation inferred from historical signals"
"aceleradora-litoral","bioheuris","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","biosynaptica","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","inbioar","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","infira","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","nairotech","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","seedmatriz","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","untech","funded_by","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"air-capital","aplife-biotech","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","arcomedLab","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","argenTAG","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Ayuvant","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Beeflow","funded_by","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","Blerify","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","branch-energy","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","caspr-biotech","funded_by","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","Cellva","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","done-properly","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Egg","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Epiliquid","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","ergo-foods","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Ethos","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Feedvax","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Gigablue","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","inner-cosmos","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Laurus","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Lemon","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","menta-tickets","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","michroma","funded_by","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","novo-space","funded_by","canonical_investment","0.95","edgeseco.csv"
"air-capital","Oncoliq","funded_by","canonical_investment","0.95","edgeseco.csv"
